No,ID,ASAS_ID_V,ASAS_ID_I,2MASS_ID,RAd,DEC,V,I,V-I,J,J-H,H-K,Type,Period,V_amp,I_amp
55,185624+4921.7,185624+4921.7,185624+4921.7,18562412+4921442,284.1005,49.3623,14.732,13.869,0.863,13.232,0.402,0.096,EW,0.31285,0.87,0.69
56,185650+4757.2,noID,185650+4757.2,18564920+4757109,284.20502,47.95305,99.999,12.057,99.999,8.015,1.123,0.651,APER,N/A,99.99,3.03
57,185722+4150.3,185722+4150.3,185722+4150.3,18572186+4150193,284.34109,41.8387,14.13,13.441,0.689,12.801,0.302,0.082,EW/PER,0.385522,0.47,0.52
58,185725+4042.9,185725+4042.9,185724+4042.9,18572452+4042529,284.35218,40.71471,11.628,11.017,0.611,10.7,0.238,0.033,EA,1.51031,0.33,0.29
59,185728+4942.2,185728+4942.2,185728+4942.2,18572798+4942135,284.3666,49.70376,11.081,8.136,2.945,6.452,0.875,0.333,QPER,28.92,0.25,0.16
60,185729+4430.4,185729+4430.4,185729+4430.4,BLEND,284.3708,44.5067,13.545,10.123,3.422,99.999,99.999,99.999,QPER,86.2,0.64,0.32
61,185735+4507.7,185735+4507.7,185735+4507.7,18573541+4507441,284.39756,45.12892,11.912,11.008,0.904,10.438,0.459,0.115,EB/EA,4.4472,0.25,0.26
62,185737+4220.9,185737+4220.9,185738+4221.0,18573734+4220579,284.40562,42.34943,12.277,9.067,3.21,7.355,0.892,0.3,QPER,66.9,0.46,0.21
63,185748+4117.9,185748+4117.9,185748+4117.9,18574834+4117542,284.45145,41.2984,11.959,9.248,2.711,7.767,0.881,0.296,APER,N/A,0.36,0.17
64,185804+4022.5,185804+4022.5,185804+4022.5,18580401+4022274,284.51671,40.37428,11.192,10.006,1.186,9.395,0.619,0.143,QPER/CEP,24.05,0.22,0.12
65,185814+4931.8,185814+4931.8,185814+4931.7,18581358+4931415,284.55659,49.52821,14.13,11.333,2.797,9.652,0.881,0.344,QPER,69.4,0.95,0.52
66,185846+4109.9,185846+4109.9,185846+4109.9,BLEND,284.6917,41.165,11.222,10.709,0.513,99.999,99.999,99.999,PER,0.097338,0.04,0.02
67,185848+4208.8,185848+4208.8,185848+4208.8,18584773+4208485,284.69888,42.14682,13.751,12.858,0.893,12.654,0.301,0.054,EW,0.471528,0.91,0.9
68,185852+4037.2,185852+4037.2,noID,18585168+4037150,284.71534,40.62083,10.537,99.999,99.999,5.384,0.839,0.419,QPER,40.62,0.48,99.99
69,185858+4833.6,185858+4833.6,185858+4833.6,18585747+4833329,284.7395,48.55916,12.773,12.123,0.65,12.066,0.281,0.077,EB/EW,0.70858,0.41,0.34
70,185900+4234.5,185900+4234.5,185859+4234.4,18585928+4234278,284.74701,42.57441,13.809,12.626,1.183,11.972,0.524,0.093,PER,0.1554483,0.12,0.05
71,185900+4115.9,185900+4115.9,185900+4115.9,BLEND,284.75,41.265,9.15,9.226,-0.076,99.999,99.999,99.999,PER,0.76366,0.02,0.04
72,185908+4126.7,185908+4126.7,noID,18590837+4126418,284.7849,41.44497,9.564,99.999,99.999,6.035,0.8,0.298,QPER,14.431,0.12,99.99
73,185911+4815.8,185911+4815.8,185912+4815.8,18591168+4815480,284.79867,48.26334,14.057,13.137,0.92,12.641,0.381,0.074,EW,0.293553,0.66,0.39
74,185920+3915.1,185920+3915.1,185920+3915.1,BLEND,284.8333,39.2517,14.131,11.106,3.025,99.999,99.999,99.999,QPER,44.05,0.87,0.34
75,185926+4409.8,185926+4409.8,185926+4409.8,18592571+4409469,284.85713,44.16303,11.743,9.233,2.51,7.768,0.885,0.25,QPER,22.85,0.21,0.1
76,185937+4207.8,185937+4207.8,185937+4207.8,18593681+4207459,284.90338,42.12942,12.386,8.934,3.452,7.002,0.904,0.321,QPER,49.17,0.53,0.15
77,185951+4521.7,185951+4521.7,185951+4521.6,18595072+4521397,284.96134,45.36103,14.262,12.302,1.96,11.337,0.71,0.245,QPER,148.2,1.86,0.86
78,185951+4143.0,185951+4143.0,185951+4143.0,18595091+4143027,284.96214,41.71742,11.038,8.197,2.841,6.537,0.886,0.327,QPER,50.5,0.81,0.34
79,185953+3908.4,185953+3908.4,185953+3908.4,BLEND,284.9708,39.14,13.383,12.129,1.254,99.999,99.999,99.999,PER,0.0994472,0.24,0.06
